terms,atomic_goal
Medium / mass media,"Žák vybere z nabízených tvrzení to, které je platným zobecněním o masových médiích (nikoli jednotlivým faktem), a své rozhodnutí doloží dvěma relevantními příklady."
News / journalism,"Žák rozhodne, které tvrzení je zobecněním o zprávách a žurnalistice (nikoli jednotlivým faktem), a volbu zdůvodní dvěma příklady z praxe."
Advertising / propaganda / product placement,"Žák vybere platné zobecnění o reklamě, propagandě a product placementu (nikoli jednotlivým faktem) a rozhodnutí podpoří dvěma příklady."
Disinformation / fake news / deepfake,"Žák rozhodne, které tvrzení je platným zobecněním o dezinformacích / fake news / deepfake (nikoli jednotlivým faktem), a volbu doloží dvěma konkrétními příklady."
Manipulation of public opinion,Žák vybere zobecnění o manipulaci veřejného mínění (nikoli jednotlivým faktem) a své rozhodnutí podloží dvěma příklady technik.
Stereotype,"Žák rozhodne, které tvrzení je zobecněním o stereotypech (nikoli jednotlivým faktem), a volbu zdůvodní dvěma ilustračními příklady."
Critical thinking,Žák vybere platné zobecnění o kritickém myšlení jako kognitivním procesu (nikoli jednotlivým faktem) a rozhodnutí doloží dvěma příklady situací.
Copyright,"Žák rozhodne, které tvrzení je zobecněním o autorském právu (copyrightu) (nikoli jednotlivým faktem), a volbu podpoří dvěma příklady pravidel či situací."
Source of information / fact-checking,Žák vybere zobecnění o zdrojích informací a fact-checkingu (nikoli jednotlivým faktem) a své rozhodnutí doloží dvěma příklady postupů.
Influencer,"Žák rozhodne, které tvrzení je platným zobecněním o influencerech jako třídě osob (nikoli jednotlivým faktem), a volbu podloží dvěma příklady."
Algorithm,Žák vybere zobecnění o algoritmech (nikoli jednotlivým faktem) a rozhodnutí doloží dvěma příklady jejich chování v praxi.
Media ethics,"Žák rozhodne, které tvrzení je zobecněním o mediální etice (nikoli jednotlivým faktem), a volbu zdůvodní dvěma příklady pravidel či dilemat."
Public-service / state / private media,"Žák vybere platné zobecnění o veřejnoprávních, státních a soukromých médiích (nikoli jednotlivým faktem) a rozhodnutí podpoří dvěma příklady institucí či znaků."
Licence fee (broadcast licence fee),"Žák rozhodne, které tvrzení je zobecněním o koncesionářských poplatcích (nikoli jednotlivým faktem), a volbu doloží dvěma příklady fungování."
Clickbait,Žák vybere zobecnění o clickbaitu (nikoli jednotlivým faktem) a své rozhodnutí podloží dvěma příklady nadpisů.
Dark posting,"Žák rozhodne, které tvrzení je platným zobecněním o dark postingu (nikoli jednotlivým faktem), a volbu zdůvodní dvěma příklady jeho použití."
Echo chamber / rabbit hole / social (filter) bubble,Žák vybere zobecnění o echo chamberu / sociální (filtrační) bublině (nikoli jednotlivým faktem) a rozhodnutí doloží dvěma příklady jevů.
Hybrid warfare,"Žák rozhodne, které tvrzení je zobecněním o hybridní válce (nikoli jednotlivým faktem), a volbu podpoří dvěma příklady taktik."
Target audience / microtargeting,Žák vybere platné zobecnění o cílovém publiku a mikrocilení (nikoli jednotlivým faktem) a své rozhodnutí doloží dvěma příklady kampaní.
Logical fallacy,"Žák rozhodne, které tvrzení je zobecněním o logických klamech (nikoli jednotlivým faktem), a volbu zdůvodní dvěma příklady klamů."
Types of social networks,Žák vybere zobecnění o typech sociálních sítí (nikoli jednotlivým faktem) a rozhodnutí doloží dvěma příklady rozdílných platforem a jejich znaků.
Clickbait,"Žák vyřeší problém výběru spolehlivých článků pro referát tak, že na základě generalizace „clickbaitové titulky často používají senzacechtivá, neúplná či přehnaná tvrzení“ správně identifikuje a vyřadí alespoň 3 z 5 předložených clickbaitových titulků a ponechá 2 vhodné zdroje."
Disinformation / fake news / deepfake,"Žák vyřeší problém ověření autenticity virálního videa tak, že na základě generalizace „deepfaky často vykazují nesoulad mimiky, stínů a synchronizace zvuku s obrazem“ posoudí dvě alternativy (pravé vs. podvrh) a rozhodne ANO/NE o použití videa, přičemž uvede alespoň 2 zjištěné příznaky na podporu rozhodnutí."
Logical fallacy,"Žák vyřeší problém chybného závěru v krátkém článku tak, že na základě generalizace „logické klamy jsou opakující se vzorce chybného usuzování“ správně určí 1 přítomný klam ze 3 nabízených možností a navrhne opravu jednou větou, která klam odstraní."
Clickbait,"Žák formuluje předpověď a navrhne, provede a vyhodnotí jednoduchý experiment, kterým ověří zobecnění, že clickbaitové titulky častěji používají emotivní slova než běžné zpravodajské titulky."
Algorithm,"Žák formuluje předpověď a navrhne, provede a vyhodnotí experiment, kterým ověří zobecnění, že algoritmus doporučování na sociální síti zvyšuje podíl obsahu k tématům, s nimiž uživatel více interaguje."
News / journalism,"Žák formuluje předpověď a navrhne, provede a vyhodnotí experiment, kterým ověří zobecnění, že zpravodajské texty obvykle odpovídají na otázky 5W1H (kdo, co, kdy, kde, proč a jak)."
Clickbait,"Žák vyšetří a ověří zobecnění, že clickbaitové nadpisy častěji používají otázky nebo přehánění než informativní nadpisy, tím že porovná vzorek nadpisů a předloží logicky zdůvodněný závěr."
Stereotype,"Žák prošetří platnost zobecnění, že reklamní spoty často využívají genderové stereotypy, analýzou vybraného vzorku a obhajobou závěru podloženého příklady."
Source of information / fact-checking,"Žák vyšetří zobecnění, že články ze spolehlivých zdrojů častěji odkazují na primární zdroje než články z pochybných webů, tím že sestaví vzorek, spočítá výskyt odkazů a předloží logicky zdůvodněné zjištění."
